match_id,venue,team_1,team_2,match_type,toss_winner,toss_decision,match_winner
258467,Trent Bridge,England,West Indies,ODI,West Indies,bat,West Indies
258471,The Rose Bowl,England,India,ODI,India,field,England
258472,County Ground,England,India,ODI,India,bat,India
258473,Edgbaston,England,India,ODI,India,field,England
258474,Old Trafford,England,India,ODI,India,bat,England
258475,Headingley,England,India,ODI,England,field,India
258476,Kennington Oval,England,India,ODI,England,bat,India
258477,Lord's,England,India,ODI,India,bat,England
259384,Sedgars Park,Bermuda,Canada,ODI,Canada,field,Canada
259389,Willowmoore Park,Bermuda,Netherlands,ODI,Netherlands,bat,Bermuda
259390,Willowmoore Park,Bermuda,Canada,ODI,Canada,field,Canada
259391,Willowmoore Park,Canada,Netherlands,ODI,Netherlands,field,Netherlands
259793,Buffalo Park,South Africa,Zimbabwe,ODI,Zimbabwe,bat,South Africa
264068,Shaheed Chandu Stadium,Bangladesh,Zimbabwe,ODI,Bangladesh,field,Bangladesh
264069,Shaheed Chandu Stadium,Bangladesh,Zimbabwe,ODI,Zimbabwe,field,Bangladesh
264070,Shere Bangla National Stadium,Bangladesh,Zimbabwe,ODI,Bangladesh,field,Bangladesh
264071,Shere Bangla National Stadium,Bangladesh,Zimbabwe,ODI,Bangladesh,field,Bangladesh
267386,Gymkhana Club Ground,Bermuda,Canada,ODI,Bermuda,field,Canada
267387,Ruaraka Sports Club Ground,Bermuda,Netherlands,ODI,Netherlands,field,Netherlands
267389,Gymkhana Club Ground,Kenya,Scotland,ODI,Scotland,bat,Scotland
267391,Jaffery Sports Club Ground,Kenya,Canada,ODI,Kenya,bat,Kenya
267708,"MA Chidambaram Stadium, Chepauk",India,West Indies,ODI,West Indies,field,West Indies
267709,Indian Petrochemicals Corporation Limited Sports Complex Ground,India,West Indies,ODI,West Indies,field,India
267710,Eden Gardens,India,Sri Lanka,ODI,India,field,Unknown
267712,Madhavrao Scindia Cricket Ground,India,Sri Lanka,ODI,India,field,Sri Lanka
267713,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,India,Sri Lanka,ODI,India,field,India
267715,"Nehru Stadium, Fatorda",India,Sri Lanka,ODI,Sri Lanka,bat,India
271465,Harlequins,South Africa,Pakistan,ODI,Pakistan,field,South Africa
271466,"Sinovich Park, Sinoville",Pakistan,South Africa,ODI,Pakistan,bat,South Africa
275789,Titwood,Scotland,India,ODI,India,field,India
276226,"MA Chidambaram Stadium, Chepauk",New Zealand,Australia,ODI,New Zealand,bat,Australia
282688,Shere Bangla National Stadium,Bangladesh,India,ODI,Bangladesh,bat,India
282689,Shere Bangla National Stadium,Bangladesh,India,ODI,India,bat,India
289107,M Chinnaswamy Stadium,Africa XI,Asia XI,ODI,Asia XI,bat,Asia XI
289108,"MA Chidambaram Stadium, Chepauk",Africa XI,Asia XI,ODI,Asia XI,bat,Asia XI
289110,"MA Chidambaram Stadium, Chepauk",Africa XI,Asia XI,ODI,Asia XI,bat,Asia XI
291217,Rangiri Dambulla International Stadium,Sri Lanka,England,ODI,Sri Lanka,bat,Sri Lanka
291218,Rangiri Dambulla International Stadium,Sri Lanka,England,ODI,England,bat,England
291220,R Premadasa Stadium,Sri Lanka,England,ODI,Sri Lanka,bat,England
